ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): All 50 + DC

Agency Name,State Name [District] Latest available year,Total Students All Grades (Excludes AE) [District] 2024-25,Agency ID - NCES Assigned [District] Latest available year,Locale [District] 2024-25
BENJAMIN BANNEKER CHARTER PUBLIC,Massachusetts,352,2500022,12-City: Mid-size
BENJAMIN BANNEKER PREPARATORY CHARTER SCHOOL,New Jersey,353,3400744,21-Suburb: Large
BENJAMIN FRANKLIN ACADEMY CHARTERED PUBLIC SCHOOL,NEW HAMPSHIRE,76,3399976,41-Rural: Fringe
BENJAMIN FRANKLIN CHARTER SCHOOL - QUEEN CREEK (4355),Arizona,3321,0400065,41-Rural: Fringe
BENJAMIN FRANKLIN CLASSICAL CHARTER PUBLIC,Massachusetts,898,2500030,21-Suburb: Large
BENJAMIN FRANKLIN HIGH SCHOOL,LOUISIANA,1056,2200299,11-City: Large
BENJAMIN ISD,Texas,94,4809980,43-Rural: Remote
BENJAMIN LOGAN LOCAL,Ohio,1591,3904807,42-Rural: Distant
BENJAMIN SD 25,Illinois,646,1705880,21-Suburb: Large
BENNETT COMM SCHOOL DISTRICT,Iowa,76,1904740,42-Rural: Distant
BENNETT COUNTY SCHOOL DISTRICT 03-1,South Dakota,442,4606240,43-Rural: Remote
BENNETT SCHOOL DISTRICT NO. 29J,Colorado,1793,0802430,42-Rural: Distant
BENNETT VALLEY UNION ELEMENTARY,California,889,0604650,12-City: Mid-size
BENNETT VENTURE ACADEMY,Ohio,460,3900457,11-City: Large
BENNINGTON,Oklahoma,252,4003930,43-Rural: Remote
BENNINGTON PUBLIC SCHOOLS,Nebraska,4381,3103990,21-Suburb: Large
BENNINGTON RUTLAND SUPERVISORY UNION,Vermont,†,5099906,43-Rural: Remote
BENSALEM TOWNSHIP SD,Pennsylvania,6416,4203330,21-Suburb: Large
BENSENVILLE SD 2,Illinois,2035,1705910,21-Suburb: Large
BENSON PUBLIC SCHOOL DISTRICT,Minnesota,760,2704470,43-Rural: Remote
BENSON UNIFIED SCHOOL DISTRICT (79226),Arizona,1287,0400212,32-Town: Distant
BENTLEY COMMUNITY SCHOOL DISTRICT,Michigan,707,2604800,21-Suburb: Large
BENTON AREA SD,Pennsylvania,611,4203390,42-Rural: Distant
BENTON CARROLL SALEM LOCAL,Ohio,1341,3904892,42-Rural: Distant
BENTON CCSD 47,Illinois,1000,1705950,33-Town: Remote
BENTON COMM SCHOOL DISTRICT,Iowa,1637,1904830,42-Rural: Distant
BENTON COMMUNITY SCHOOL CORP,Indiana,1601,1800480,42-Rural: Distant
BENTON CONS HSD 103,Illinois,604,1705970,33-Town: Remote
BENTON COUNTY,Tennessee,2150,4700240,43-Rural: Remote
BENTON COUNTY SCHOOL DISTRICT,Mississippi,909,2800600,43-Rural: Remote
BENTON HARBOR AREA SCHOOLS,Michigan,1240,2604830,23-Suburb: Small
BENTON HARBOR CHARTER SCHOOL ACADEMY,Michigan,418,2600191,23-Suburb: Small
BENTON LAKE ELEM,Montana,6,3003480,42-Rural: Distant
BENTON SCHOOL DISTRICT,Wisconsin,223,5501110,42-Rural: Distant
BENTON SCHOOL DISTRICT,Arkansas,5806,0502960,21-Suburb: Large
BENTON SCHOOL DISTRICT,New Hampshire,†,3301830,43-Rural: Remote
BENTON-STEARNS EDUCATION DISTRICT,Minnesota,170,2700071,22-Suburb: Mid-size
BENTONVILLE SCHOOL DISTRICT,Arkansas,19575,0503060,13-City: Small
BENTWORTH SD,Pennsylvania,1074,4203360,42-Rural: Distant
BENZIE COUNTY CENTRAL SCHOOLS,Michigan,1140,2604950,41-Rural: Fringe
BEREA CITY,Ohio,5332,3904360,21-Suburb: Large
BEREA INDEPENDENT,Kentucky,971,2100480,32-Town: Distant
BERESFORD SCHOOL DISTRICT 61-2,South Dakota,648,4606360,43-Rural: Remote
BERGEN ARTS AND SCIENCE CHARTER SCHOOL,New Jersey,1275,3400715,21-Suburb: Large
BERGEN CO JDC,NEW JERSEY,0,3400796,21-Suburb: Large
BERGEN COUNTY SPECIAL SERVICES SCHOOL DISTRICT,New Jersey,0,3401450,21-Suburb: Large
BERGEN COUNTY VOCATIONAL TECHNICAL SCHOOL DISTRICT,New Jersey,2719,3401470,21-Suburb: Large
BERGENFIELD BOROUGH SCHOOL DISTRICT,New Jersey,3631,3401500,21-Suburb: Large
BERGMAN SCHOOL DISTRICT,Arkansas,1102,0503090,42-Rural: Distant
BERING STRAIT SCHOOL DISTRICT,Alaska,1745,0200020,43-Rural: Remote
BERKELEY 01,South Carolina,39423,4501170,21-Suburb: Large
BERKELEY COUNTY SCHOOLS,West Virginia,20006,5400060,22-Suburb: Mid-size
BERKELEY HEIGHTS SCHOOL DISTRICT,New Jersey,2349,3401530,21-Suburb: Large
BERKELEY SD 87,Illinois,2147,1706000,21-Suburb: Large
BERKELEY TOWNSHIP SCHOOL DISTRICT,New Jersey,2385,3401560,21-Suburb: Large
BERKELEY UNIFIED,California,9162,0604740,12-City: Mid-size
BERKLEY,Massachusetts,833,2502520,21-Suburb: Large
BERKLEY SCHOOL DISTRICT,Michigan,3959,2605010,21-Suburb: Large
BERKS CAREER AND TECHNOLOGY CENTER,Pennsylvania,44,4280060,41-Rural: Fringe
BERKS COUNTY IU 14,Pennsylvania,151,4289240,21-Suburb: Large
BERKSHIRE ARTS AND TECHNOLOGY CHARTER PUBLIC,Massachusetts,364,2500079,31-Town: Fringe
BERKSHIRE HILLS,Massachusetts,1131,2502530,41-Rural: Fringe
BERKSHIRE LOCAL,Ohio,1372,3904716,42-Rural: Distant
BERKSHIRE UNION FREE SCHOOL DISTRICT,New York,†,3604590,41-Rural: Fringe
BERLIN AREA SCHOOL DISTRICT,Wisconsin,1197,5501140,32-Town: Distant
BERLIN BOROUGH SCHOOL DISTRICT,New Jersey,860,3401590,21-Suburb: Large
BERLIN BROTHERSVALLEY SD,Pennsylvania,775,4203420,42-Rural: Distant
BERLIN CENTRAL SCHOOL DISTRICT,New York,591,3604620,42-Rural: Distant
BERLIN SCHOOL DISTRICT,Connecticut,2634,0900210,21-Suburb: Large
BERLIN SCHOOL DISTRICT,New Hampshire,989,3301860,41-Rural: Fringe
BERLIN TOWNSHIP S/D #3,Michigan,15,2605100,42-Rural: Distant
BERLIN TOWNSHIP SCHOOL DISTRICT,New Jersey,621,3401620,21-Suburb: Large
BERLIN-BOYLSTON,Massachusetts,1111,2502580,21-Suburb: Large
BERMUDIAN SPRINGS SD,Pennsylvania,1716,4203450,42-Rural: Distant
BERNALILLO,New Mexico,2773,3500210,21-Suburb: Large
BERNARDS TOWNSHIP SCHOOL DISTRICT,New Jersey,4673,3401650,21-Suburb: Large
BERNE UNION LOCAL,Ohio,813,3904685,41-Rural: Fringe
BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT,New York,711,3604650,42-Rural: Distant
BERNIE R-XIII,Missouri,478,2904950,42-Rural: Distant
BERRIEN COUNTY,Georgia,3061,1300390,41-Rural: Fringe
BERRIEN RESA,Michigan,907,2680160,23-Suburb: Small
BERRIEN SPRINGS PUBLIC SCHOOLS,Michigan,4993,2605430,41-Rural: Fringe
BERRYESSA UNION ELEMENTARY,California,5911,0604800,11-City: Large
BERRYHILL,Oklahoma,1130,4004020,21-Suburb: Large
BERRYVILLE SCHOOL DISTRICT,Arkansas,1797,0503150,32-Town: Distant
BERT CORONA CHARTER DISTRICT,CALIFORNIA,345,0602093,11-City: Large
BERT CORONA CHARTER HIGH DISTRICT,CALIFORNIA,220,0602116,11-City: Large
BERTHA-HEWITT PUBLIC SCHOOL DIST.,Minnesota,506,2705430,43-Rural: Remote
BERTIE COUNTY SCHOOLS,North Carolina,1708,3700360,43-Rural: Remote
BERTRAND PUBLIC SCHOOLS,Nebraska,236,3104020,43-Rural: Remote
BERWICK AREA SD,Pennsylvania,2559,4203480,32-Town: Distant
BERWYN NORTH SD 98,Illinois,2434,1706060,21-Suburb: Large
BERWYN SOUTH SD 100,Illinois,3050,1706090,21-Suburb: Large
BESSEMER AREA SCHOOL DISTRICT,Michigan,343,2600006,42-Rural: Distant
BESSEMER CITY,Alabama,3012,0100330,21-Suburb: Large
BEST ACADEMY,Minnesota,790,2700309,11-City: Large
BETA ACADEMY,TEXAS,1569,4801446,11-City: Large
BETHALTO CUSD 8,Illinois,2368,1706120,23-Suburb: Small
BETHANY,Oklahoma,1762,4004110,21-Suburb: Large
BETHANY COMMUNITY SCHOOL,North Carolina,640,3700110,41-Rural: Fringe
BETHANY SCHOOL DISTRICT,Connecticut,430,0900240,41-Rural: Fringe
BETHEL,Oklahoma,1160,4004230,42-Rural: Distant
BETHEL HILL CHARTER,North Carolina,344,3700109,42-Rural: Distant
BETHEL LOCAL,Ohio,1991,3904861,41-Rural: Fringe
BETHEL PARK SD,Pennsylvania,4019,4203510,21-Suburb: Large
BETHEL SCHOOL DISTRICT,Washington,21450,5300480,21-Suburb: Large
BETHEL SCHOOL DISTRICT,Connecticut,3227,0900270,22-Suburb: Mid-size
BETHEL SD 52,Oregon,5027,4102040,12-City: Mid-size
BETHEL SD 82,Illinois,154,1706180,41-Rural: Fringe
BETHEL-TATE LOCAL,Ohio,1346,3904631,41-Rural: Fringe
BETHLEHEM AREA SD,Pennsylvania,12769,4203570,13-City: Small
BETHLEHEM AREA VOCATIONAL-TECHNICAL SCHOOL,Pennsylvania,18,4280370,21-Suburb: Large
BETHLEHEM CENTRAL SCHOOL DISTRICT,New York,4115,3604710,21-Suburb: Large
BETHLEHEM SCHOOL DISTRICT,New Hampshire,142,3301890,43-Rural: Remote
BETHLEHEM TOWNSHIP SCHOOL DISTRICT,New Jersey,378,3401710,42-Rural: Distant
BETHLEHEM-CENTER SD,Pennsylvania,939,4203600,42-Rural: Distant
BETHPAGE UNION FREE SCHOOL DISTRICT,New York,2976,3604740,21-Suburb: Large
BETHUNE SCHOOL DISTRICT NO. R- 5,Colorado,99,0802460,43-Rural: Remote
BETTENDORF COMM SCHOOL DISTRICT,Iowa,4404,1904860,21-Suburb: Large
BETTER HEALTH COLLECTIVE,MINNESOTA,†,2791466,43-Rural: Remote
BETTY M CONDRA SCHOOL FOR EDUCATION INNOVATION,TEXAS,187,4801468,11-City: Large
BETTY SHABAZZ  INTERNL CHRTR SCH,ILLINOIS,524,1701424,11-City: Large
BEULAH 27,North Dakota,748,3800032,43-Rural: Remote
BEVERLY,Massachusetts,4503,2502640,21-Suburb: Large
BEVERLY CITY SCHOOL DISTRICT,New Jersey,345,3401740,21-Suburb: Large
BEVERLY HILLS UNIFIED,California,3079,0604830,21-Suburb: Large
BEVIER C-4,Missouri,220,2904980,42-Rural: Distant
BEXAR COUNTY ACADEMY,Texas,153,4800077,11-City: Large
BEXLEY CITY,Ohio,2496,3904362,21-Suburb: Large
BGLIG-SHIRLEY RODRIGUEZ-REMENESKI CS,New York,313,3600967,11-City: Large
BI-COUNTY COLLABORATIVE (BICO),MASSACHUSETTS,†,2500582,21-Suburb: Large
BI-COUNTY SPECIAL EDUC COOP,Illinois,0,1700227,32-Town: Distant
BIBB COUNTY,Alabama,3063,0100360,42-Rural: Distant
BIBB COUNTY,Georgia,21334,1300420,12-City: Mid-size
BICENTENNIAL UNION HIGH SCHOOL DISTRICT (4515),Arizona,120,0401160,43-Rural: Remote
BICKLETON SCHOOL DISTRICT,Washington,91,5300510,43-Rural: Remote
BIDDEFORD PUBLIC SCHOOLS,Maine,2436,2303150,22-Suburb: Mid-size
BIDDLE ELEM,Montana,11,3003600,43-Rural: Remote
BIENVILLE PARISH,Louisiana,1799,2200210,43-Rural: Remote
BIG BAY DE NOC SCHOOL DISTRICT,Michigan,192,2605690,43-Rural: Remote
BIG BEAVER FALLS AREA SD,Pennsylvania,1638,4203630,21-Suburb: Large
BIG COUNTRY COOP,Montana,†,3000020,41-Rural: Fringe
BIG CREEK ELEMENTARY,California,21,0604860,43-Rural: Remote
BIG FOOT UHS SCHOOL DISTRICT,Wisconsin,437,5515480,32-Town: Distant
BIG HOLLOW SD 38,Illinois,1653,1706270,21-Suburb: Large
BIG HORN,Montana,†,3000010,43-Rural: Remote
BIG HORN COUNTY SCHOOL DISTRICT #1,Wyoming,1251,5601420,43-Rural: Remote
BIG HORN COUNTY SCHOOL DISTRICT #2,Wyoming,708,5601460,43-Rural: Remote
BIG HORN COUNTY SCHOOL DISTRICT #3,Wyoming,447,5603170,43-Rural: Remote
BIG HORN COUNTY SCHOOL DISTRICT #4,Wyoming,251,5601090,43-Rural: Remote
BIG JACKSON SCHOOL DISTRICT,Michigan,1,2600105,42-Rural: Distant
BIG LAGOON UNION ELEMENTARY,California,15,0604890,43-Rural: Remote
BIG LAKE PUBLIC SCHOOL DISTRICT,Minnesota,3190,2705460,31-Town: Fringe
BIG OAK FLAT-GROVELAND UNIFIED,California,268,0691137,42-Rural: Distant
BIG PASTURE,Oklahoma,217,4004350,42-Rural: Distant
BIG PICTURE EDUCATIONAL ACADEMY DISTRICT,CALIFORNIA,520,0601829,11-City: Large
BIG PINE UNIFIED,California,151,0604950,43-Rural: Remote
BIG RAPIDS PUBLIC SCHOOLS,Michigan,2411,2605780,33-Town: Remote
BIG SANDY ISD,Texas,649,4810140,42-Rural: Distant
BIG SANDY ISD,Texas,506,4810170,43-Rural: Remote
BIG SANDY K-12,Montana,181,3003750,43-Rural: Remote
BIG SANDY SCHOOL DISTRICT NO. 100J,Colorado,329,0806600,43-Rural: Remote
BIG SKY SCHOOL K-12,Montana,386,3000654,43-Rural: Remote
BIG SKY SPECIAL NEEDS COOP,Montana,†,3000060,43-Rural: Remote
BIG SPRING ISD,Texas,3376,4810200,33-Town: Remote
BIG SPRING SD,Pennsylvania,2379,4203660,41-Rural: Fringe
BIG SPRINGS CHARTER SCHOOL,Texas,175,4800227,43-Rural: Remote
BIG SPRINGS UNION ELEMENTARY,California,151,0604980,43-Rural: Remote
BIG STONE CITY SCHOOL DISTRICT 25-1,South Dakota,79,4606960,43-Rural: Remote
BIG SUR CHARTER DISTRICT,CALIFORNIA,101,0602469,22-Suburb: Mid-size
BIG SUR UNIFIED,California,12,0600031,43-Rural: Remote
BIG TIMBER ELEM,Montana,291,3003800,43-Rural: Remote
BIG VALLEY JOINT UNIFIED,California,114,0605010,43-Rural: Remote
BIG WALNUT LOCAL,Ohio,4298,3904674,31-Town: Fringe
BIGFORK ELEM,Montana,579,3003820,43-Rural: Remote
BIGFORK H S,Montana,333,3003840,43-Rural: Remote
BIGGS UNIFIED,California,534,0605040,42-Rural: Distant
BILLERICA,Massachusetts,4972,2502670,21-Suburb: Large
BILLINGS,Oklahoma,71,4004360,42-Rural: Distant
BILLINGS CO 1,North Dakota,101,3802840,43-Rural: Remote
BILLINGS ELEM,Montana,11169,3003870,12-City: Mid-size
BILLINGS H S,Montana,5444,3003900,12-City: Mid-size
BILLINGS R-IV,Missouri,398,2905070,42-Rural: Distant
BILOXI PUBLIC SCHOOL DISTRICT,Mississippi,5699,2800630,13-City: Small
BINGER-ONEY,Oklahoma,302,4033603,43-Rural: Remote
BINGHAMTON CITY SCHOOL DISTRICT,New York,4784,3604870,13-City: Small
BIO-MED SCIENCE ACADEMY STEM SCHOOL,Ohio,935,3901512,21-Suburb: Large
BIRCH GROVE COMMUNITY SCHOOL,Minnesota,45,2700255,43-Rural: Remote
BIRCH RUN AREA SCHOOLS,Michigan,1806,2605820,41-Rural: Fringe
BIRCHWOOD SCHOOL DISTRICT,Wisconsin,217,5501170,43-Rural: Remote
BIRD ISLAND-OLIVIA-LAKE LILLIAN,Minnesota,636,2705660,43-Rural: Remote
BIRDVILLE ISD,Texas,22267,4810230,21-Suburb: Large
BIRMINGHAM CITY,Alabama,20954,0100390,12-City: Mid-size
BIRMINGHAM COMMUNITY CHARTER HIGH DISTRICT,CALIFORNIA,3162,0601596,11-City: Large
BIRMINGHAM PUBLIC SCHOOLS,Michigan,7424,2605850,21-Suburb: Large
BIRNEY ELEM,Montana,10,3003990,43-Rural: Remote
BISBEE UNIFIED DISTRICT (4169),Arizona,622,0401180,32-Town: Distant
BISHOP,Oklahoma,647,4004470,13-City: Small
BISHOP CISD,Texas,1463,4810260,42-Rural: Distant
BISHOP UNIFIED,California,1910,0601409,33-Town: Remote
BISMARCK 1,North Dakota,14098,3800014,13-City: Small
BISMARCK CAREER ACADEMY,North Dakota,†,3800398,13-City: Small
BISMARCK HENNING CUSD,Illinois,802,1706390,42-Rural: Distant
BISMARCK R-V,Missouri,446,2905130,42-Rural: Distant
BISMARCK SCHOOL DISTRICT,Arkansas,1034,0503240,42-Rural: Distant
BISMARCK SPECIAL ED UNIT,North Dakota,†,3880720,13-City: Small
BISMARCK TECHNICAL CENTER,North Dakota,†,3880750,13-City: Small
BISON SCHOOL DISTRICT 52-1,South Dakota,135,4607050,43-Rural: Remote
BITTERROOT VALLEY COOP,Montana,†,3000068,42-Rural: Distant
BITTERWATER-TULLY ELEMENTARY,California,35,0605190,43-Rural: Remote
BIXBY,Oklahoma,8374,4004500,41-Rural: Fringe
BLACHLY SD 90,Oregon,417,4102160,42-Rural: Distant
BLACK BUTTE SD 41,Oregon,24,4102190,43-Rural: Remote
BLACK BUTTE UNION ELEMENTARY,California,235,0605220,42-Rural: Distant
BLACK HAWK AREA SP ED DISTRICT,Illinois,†,1700084,21-Suburb: Large
BLACK HAWK SCHOOL DISTRICT,Wisconsin,335,5505730,43-Rural: Remote
BLACK HILLS SPECIAL SERVICES COOPERATIVE,South Dakota,0,4680120,32-Town: Distant
BLACK HORSE PIKE REGIONAL SCHOOL DISTRICT,New Jersey,3487,3401770,21-Suburb: Large
BLACK OAK MINE UNIFIED,California,1238,0605240,42-Rural: Distant
BLACK RIVER CAREER PREP HIGH SCHOOL,Ohio,182,3900176,22-Suburb: Mid-size
BLACK RIVER FALLS SCHOOL DISTRICT,Wisconsin,1552,5501260,32-Town: Distant
BLACK RIVER LOCAL,Ohio,935,3904846,42-Rural: Distant
BLACK RIVER PUBLIC SCHOOL,Michigan,964,2600114,13-City: Small
BLACK RIVER TECHNICAL COLLEGE,ARKANSAS,0,0500437,32-Town: Distant
BLACKDUCK PUBLIC SCHOOL DISTRICT,Minnesota,696,2705730,43-Rural: Remote
BLACKFOOT CHARTER COMMUNITY LEARNING CENTER INC.,Idaho,433,1600153,32-Town: Distant
BLACKFOOT DISTRICT,Idaho,3796,1600270,32-Town: Distant
BLACKFORD COUNTY SCHOOLS,Indiana,1412,1800570,32-Town: Distant
BLACKHAWK SD,Pennsylvania,2326,4203688,21-Suburb: Large
BLACKLICK VALLEY SD,Pennsylvania,590,4203690,42-Rural: Distant
BLACKSTONE ACADEMY,Rhode Island,357,4400036,21-Suburb: Large
BLACKSTONE VALLEY PREP  A RI MAYORAL ACADEMY,Rhode Island,2253,4400015,21-Suburb: Large
BLACKSTONE VALLEY REGIONAL VOCATIONAL TECHNICAL,Massachusetts,1243,2502710,21-Suburb: Large
BLACKSTONE-MILLVILLE,Massachusetts,1480,2502715,21-Suburb: Large
BLACKWATER R-II,Missouri,101,2905190,43-Rural: Remote
BLACKWELL,Oklahoma,1087,4004630,33-Town: Remote
BLACKWELL CISD,Texas,186,4800005,43-Rural: Remote
BLADEN COUNTY SCHOOLS,North Carolina,3928,3700390,42-Rural: Distant
BLAINE,Montana,†,3000011,43-Rural: Remote
BLAINE COUNTY DISTRICT,Idaho,3102,1600300,33-Town: Remote
BLAINE SCHOOL DISTRICT,Washington,1983,5300570,31-Town: Fringe
BLAIR,Oklahoma,180,4004650,42-Rural: Distant
BLAIR COMMUNITY SCHOOLS,Nebraska,2184,3104100,32-Town: Distant
BLAIR OAKS R-II,Missouri,1163,2909930,41-Rural: Fringe
BLAIR-TAYLOR SCHOOL DISTRICT,Wisconsin,601,5500016,42-Rural: Distant
BLAIRSTOWN ELEMENTARY TOWNSHIP SCHOOL DISTRICT,New Jersey,420,3401800,42-Rural: Distant
BLAKE ELEMENTARY,California,23,0605250,42-Rural: Distant
BLANCHARD,Oklahoma,2230,4004680,42-Rural: Distant
BLANCHESTER LOCAL,Ohio,1156,3904638,42-Rural: Distant
BLANCO ISD,Texas,1102,4810320,43-Rural: Remote
BLAND COUNTY PUBLIC SCHOOLS,Virginia,818,5100390,42-Rural: Distant
BLAND ISD,Texas,777,4810350,42-Rural: Distant
BLANKET ISD,Texas,166,4810380,42-Rural: Distant
BLAST IU 17,Pennsylvania,273,4289270,13-City: Small
BLECKLEY COUNTY,Georgia,2581,1300440,32-Town: Distant
BLEDSOE COUNTY,Tennessee,1570,4700270,42-Rural: Distant
BLENDED LEARNING ACADEMIES CREDIT RECOVERY HIGH SCHOOL,MICHIGAN,187,2601072,41-Rural: Fringe
BLEVINS SCHOOL DISTRICT,Arkansas,379,0503300,43-Rural: Remote
BLIND BROOK-RYE UNION FREE SCHOOL DISTRICT,New York,1302,3624630,21-Suburb: Large
BLISS JOINT DISTRICT,Idaho,110,1600330,43-Rural: Remote
BLISSFIELD COMMUNITY SCHOOLS,Michigan,1116,2606000,42-Rural: Distant
BLOCHMAN UNION ELEMENTARY,California,210,0605280,41-Rural: Fringe
BLOOM ACADEMY CHARTER SCHOOL,TEXAS,302,4801466,11-City: Large
BLOOM TWP HSD 206,Illinois,3041,1706420,21-Suburb: Large
BLOOM-CARROLL LOCAL,Ohio,2294,3904686,41-Rural: Fringe
BLOOM-VERNON LOCAL,Ohio,818,3904959,42-Rural: Distant
BLOOMBURG ISD,Texas,229,4810440,42-Rural: Distant
BLOOMER SCHOOL DISTRICT,Wisconsin,1285,5501350,42-Rural: Distant
BLOOMFIELD,New Mexico,2388,3500240,31-Town: Fringe
BLOOMFIELD COMMUNITY SCHOOLS,Nebraska,287,3104140,43-Rural: Remote
BLOOMFIELD ELEM,Montana,8,3004200,43-Rural: Remote
BLOOMFIELD HILLS SCHOOLS,Michigan,4967,2606090,21-Suburb: Large
BLOOMFIELD R-XIV,Missouri,595,2905250,42-Rural: Distant
BLOOMFIELD SCHOOL DISTRICT,Indiana,852,1800600,42-Rural: Distant
BLOOMFIELD SCHOOL DISTRICT,Connecticut,1897,0900330,21-Suburb: Large
BLOOMFIELD TOWNSHIP SCHOOL DISTRICT,New Jersey,6468,3401830,21-Suburb: Large
BLOOMFIELD-MESPO LOCAL,Ohio,198,3905009,42-Rural: Distant
BLOOMING GROVE ISD,Texas,935,4810470,42-Rural: Distant
BLOOMING PRAIRIE PUBLIC SCHOOLS,Minnesota,864,2705760,43-Rural: Remote
BLOOMINGDALE PUBLIC SCHOOL DISTRICT,Michigan,953,2606270,42-Rural: Distant
BLOOMINGDALE SCHOOL DISTRICT,New Jersey,682,3401860,21-Suburb: Large
BLOOMINGDALE SD 13,Illinois,1290,1706450,21-Suburb: Large
BLOOMINGTON ISD,Texas,795,4810500,42-Rural: Distant
BLOOMINGTON PUBLIC SCHOOLS,Minnesota,10442,2705790,13-City: Small
BLOOMINGTON SD 87,Illinois,4809,1706480,13-City: Small
BLOOMSBURG AREA SD,Pennsylvania,1496,4203840,32-Town: Distant
BLOOMSBURY BOROUGH SCHOOL DISTRICT,New Jersey,98,3401890,41-Rural: Fringe
BLOUNT COUNTY,Alabama,7600,0100420,42-Rural: Distant
BLOUNT COUNTY,Tennessee,10270,4700300,41-Rural: Fringe
BLP SCHS SELF-INC. WORKERS COMPENSATION,California,†,0601350,21-Suburb: Large
BLUE ADOBE PROJECT (89871),Arizona,60,0400771,11-City: Large
BLUE CREEK ELEM,Montana,145,3004230,41-Rural: Fringe
BLUE EARTH AREA SCHOOL DISTRICT,Minnesota,1064,2700130,43-Rural: Remote
BLUE ELEMENTARY DISTRICT (4231),Arizona,13,0401230,43-Rural: Remote
BLUE EYE R-V,Missouri,502,2905280,42-Rural: Distant
BLUE HILL COMMUNITY SCHOOLS,Nebraska,315,3104200,43-Rural: Remote
BLUE HILL PUBLIC SCHOOLS,Maine,347,2303210,42-Rural: Distant
BLUE HILLS REGIONAL VOCATIONAL TECHNICAL,Massachusetts,910,2502740,41-Rural: Fringe
BLUE LAKE UNION ELEMENTARY,California,153,0605400,42-Rural: Distant
BLUE MOUNTAIN SD,Pennsylvania,2424,4203870,41-Rural: Fringe
BLUE MOUNTAIN UNION SCHOOL DISTRICT #21,Vermont,399,5008224,43-Rural: Remote
BLUE OAK ACADEMY DISTRICT,CALIFORNIA,430,0602299,41-Rural: Fringe
BLUE OAK CHARTER DISTRICT,CALIFORNIA,219,0602177,12-City: Mid-size
BLUE RIDGE ACADEMY DISTRICT,CALIFORNIA,7657,0602062,42-Rural: Distant
BLUE RIDGE CUSD 18,Illinois,652,1700003,42-Rural: Distant
BLUE RIDGE GOVERNOR'S SCHOOL,Virginia,†,5100062,42-Rural: Distant
BLUE RIDGE ISD,Texas,1048,4810590,42-Rural: Distant
BLUE RIDGE SD,Pennsylvania,1028,4203900,42-Rural: Distant
BLUE RIDGE UNIFIED SCHOOL DISTRICT NO. 32 (4397),Arizona,1628,0406580,33-Town: Remote
BLUE RIVER CAREER PROGRAMS,Indiana,0,1800009,32-Town: Distant
BLUE RIVER VALLEY SCHOOLS,Indiana,620,1800660,42-Rural: Distant
BLUE SKY BOCES,Colorado,†,0800012,42-Rural: Distant
BLUE SKY BOCES AU,Colorado,†,0800238,42-Rural: Distant
BLUE SPRINGS R-IV,Missouri,14657,2905310,21-Suburb: Large
BLUE VALLEY,Kansas,266,2010980,42-Rural: Distant
BLUE VALLEY,Kansas,22252,2012000,12-City: Mid-size
BLUE WATER MIDDLE COLLEGE,Michigan,205,2600992,23-Suburb: Small
BLUEJACKET,Oklahoma,197,4004830,43-Rural: Remote
BLUEPRINT EDUCATION (81041),Arizona,546,0400636,11-City: Large
BLUESKY CHARTER SCHOOL,Minnesota,634,2700193,21-Suburb: Large
BLUESTEM,Kansas,508,2008550,42-Rural: Distant
BLUFF DALE ISD,Texas,219,4810620,43-Rural: Remote
BLUFFTON EXEMPTED VILLAGE,Ohio,1248,3904521,42-Rural: Distant
BLUFFVIEW MONTESSORI,Minnesota,209,2705850,32-Town: Distant
BLUFORD UNIT SCHOOL DISTRICT 318,ILLINOIS,370,1701417,42-Rural: Distant
BLUM ISD,Texas,334,4810650,42-Rural: Distant
BLYTHEVILLE SCHOOL DISTRICT,Arkansas,1295,0503320,33-Town: Remote
BMP TRI COUNTY SPECIAL ED COOP,Illinois,†,1700164,42-Rural: Distant
BND/CHRSTN/EFFNGH/FYTT/MNTGMR ROE,Illinois,0,1700165,33-Town: Remote
BOARDMAN LOCAL,Ohio,3515,3904830,21-Suburb: Large
BOAZ CITY,Alabama,2607,0100012,32-Town: Distant
BOB HOPE SCHOOL,Texas,2584,4801410,13-City: Small
BOCES 5,Wyoming,0,5680250,42-Rural: Distant
BOERNE ISD,Texas,11101,4810710,31-Town: Fringe
BOGOTA PUBLIC SCHOOL DISTRICT,New Jersey,1411,3401920,21-Suburb: Large
BOGUS ELEMENTARY,California,20,0605490,42-Rural: Distant
BOIS BLANC PINES SCHOOL DISTRICT,Michigan,6,2606300,42-Rural: Distant
BOISE CITY,Oklahoma,281,4004860,43-Rural: Remote
BOISE INDEPENDENT DISTRICT,Idaho,22134,1600360,12-City: Mid-size
BOISTFORT SCHOOL DISTRICT,Washington,284,5300630,42-Rural: Distant
BOKOSHE,Oklahoma,136,4004950,42-Rural: Distant
BOLD CHARTER SCHOOL,NEW YORK,428,3601198,11-City: Large
BOLD KIDS AFTER SCHOOL PROG,North Carolina,†,3700156,11-City: Large
BOLES ISD,Texas,543,4810740,42-Rural: Distant
BOLINAS-STINSON UNION,California,109,0605520,42-Rural: Distant
BOLING ISD,Texas,1151,4810780,42-Rural: Distant
BOLIVAR R-I,Missouri,2725,2905370,32-Town: Distant
