ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): All 50 + DC

Agency Name,State Name [District] Latest available year,Total Students All Grades (Excludes AE) [District] 2024-25,Agency ID - NCES Assigned [District] Latest available year,Locale [District] 2024-25
ACADEMY OF TECHNOLOGY AND INNOVATION AT UMW,VIRGINIA,†,5104152,22-Suburb: Mid-size
ACADEMY OF THE CITY CHARTER SCHOOL,New York,695,3601053,11-City: Large
ACADEMY OF THE PACIFIC RIM CHARTER PUBLIC,Massachusetts,509,2500021,11-City: Large
ACADEMY OF TUCSON INC. (78897),Arizona,435,0400202,11-City: Large
ACADEMY OF VISUAL AND PERFORMING ARTS,TEXAS,146,4899131,11-City: Large
ACADEMY OF WARREN,Michigan,817,2600308,12-City: Mid-size
ACADEMY SCHOOL DISTRICT NO. 20 IN THE COUNTY OF EL PASO AN,Colorado,25607,0801920,11-City: Large
ACADEMY WITH COMMUNITY PARTNERS-ARIZONA INC (79213),Arizona,170,0400276,11-City: Large
ACADIA ACADEMY,MAINE,250,2314831,13-City: Small
ACADIA PARISH,Louisiana,9043,2200030,42-Rural: Distant
ACADIANA RENAISSANCE CHARTER ACADEMY,LOUISIANA,3669,2200231,22-Suburb: Mid-size
ACALANES UNION HIGH,California,5425,0601650,21-Suburb: Large
ACCELERATED CHARTER ELEMENTARY DISTRICT,CALIFORNIA,526,0601471,11-City: Large
ACCELERATED DISTRICT,CALIFORNIA,729,0601732,11-City: Large
ACCELERATED ELEMENTARY AND SECONDARY SCHOOLS (6364),Arizona,†,0400129,21-Suburb: Large
ACCELERATED INTERMEDIATE ACADEMY,Texas,182,4800192,11-City: Large
ACCELERATED LEARNING CENTER INC. (4297),Arizona,133,0400121,11-City: Large
ACCEPT EDUCATION COLLABORATIVE,MASSACHUSETTS,†,2500578,21-Suburb: Large
ACCESS BRONX CHARTER SCHOOL,New York,462,3600110,11-City: Large
ACCLAIM CHARTER SCHOOL (4325),Arizona,249,0400122,11-City: Large
ACCOMACK COUNTY PUBLIC SCHOOLS,Virginia,4623,5100060,43-Rural: Remote
ACE AMANDLA CHARTER SCHOOL,ILLINOIS,137,1701426,11-City: Large
ACE CHARTER HIGH DISTRICT,CALIFORNIA,313,0601561,11-City: Large
ACE COMMUNITY ACADEMY,OHIO,25,3910063,42-Rural: Distant
ACE EMPOWER ACADEMY DISTRICT,CALIFORNIA,189,0602217,11-City: Large
ACE ESPERANZA MIDDLE DISTRICT,CALIFORNIA,205,0601852,11-City: Large
ACE INSPIRE ACADEMY DISTRICT,CALIFORNIA,205,0602138,11-City: Large
